date,water level,error
2002-01-20,1605.863,0.002
2002-01-30,1605.842,0.002
2002-02-09,1605.862,0.000
2002-02-28,1605.841,0.006
2002-04-09,1605.954,0.003
2002-04-19,1605.898,0.001
2002-04-29,1605.901,0.006
2002-05-09,1605.891,0.000
2002-05-19,1605.859,0.007
2002-05-29,1605.986,0.019
2002-06-08,1606.053,0.001
2002-06-27,1605.999,0.002
2002-07-17,1605.917,0.001
2002-07-27,1606.061,0.005
2002-08-16,1606.085,0.003
2002-09-25,1606.063,0.000
2002-10-05,1606.088,0.001
2002-10-15,1606.031,0.003
2002-12-03,1605.938,0.005
2002-12-13,1605.984,0.005
2002-12-23,1605.935,0.003
2003-01-02,1605.880,0.001
2003-01-12,1605.951,0.001
2003-01-22,1605.962,0.003
2003-02-01,1605.949,0.000
2003-02-11,1606.035,0.001
2003-02-20,1605.907,0.009
2003-03-02,1605.935,0.004
2003-03-12,1606.080,0.001
2003-03-22,1605.952,0.000
2003-04-11,1606.009,0.000
2003-04-21,1606.075,0.004
2003-05-01,1606.106,0.001
2003-05-11,1606.097,0.003
2003-05-21,1606.025,0.013
2003-05-31,1606.194,0.003
2003-06-10,1606.123,0.004
2003-06-19,1606.152,0.015
2003-06-29,1606.148,0.000
2003-07-09,1606.217,0.002
2003-07-19,1606.262,0.006
2003-08-08,1606.256,0.001
2003-08-18,1606.216,0.003
2003-08-28,1606.285,0.001
2003-09-07,1606.240,0.000
2003-09-17,1606.252,0.002
2003-09-27,1606.251,0.003
2003-10-07,1606.242,0.002
2003-10-16,1606.192,0.002
2003-11-05,1606.230,0.000
2003-11-15,1606.281,0.006
2003-12-05,1606.256,0.000
2003-12-15,1606.229,0.001
2003-12-25,1606.162,0.001
2004-01-04,1606.236,0.000
2004-01-14,1606.151,0.007
2004-01-24,1606.246,0.004
2004-02-22,1606.273,0.000
2004-03-03,1606.252,0.003
2004-03-13,1606.254,0.005
2004-03-23,1606.238,0.002
2004-04-22,1606.186,0.005
